Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D44,D_Small,D_SOD-123,259.842,12.574,270,bottom
D45,D_Small,D_SOD-123,161.544,87.884,270,bottom
D46,D_Small,D_SOD-123,171.167682,70.041097,270,bottom
D47,D_Small,D_SOD-123,176.276,51.308,270,bottom
D48,D_Small,D_SOD-123,185.928,33.654,270,bottom
D49,D_Small,D_SOD-123,180.836096,89.768261,270,bottom
D50,D_Small,D_SOD-123,190.5,68.706,270,bottom
D51,D_Small,D_SOD-123,194.539062,53.221296,270,bottom
D52,D_Small,D_SOD-123,204.231923,34.671548,270,bottom
D53,D_Small,D_SOD-123,200.406,13.462,270,bottom
D54,D_Small,D_SOD-123,200.003846,87.884,270,bottom
D55,D_Small,D_SOD-123,209.296,70.104,270,bottom
D56,D_Small,D_SOD-123,213.868,51.308,270,bottom
D57,D_Small,D_SOD-123,223.52,33.528,270,bottom
D58,D_Small,D_SOD-123,218.940828,89.719508,270,bottom
D59,D_Small,D_SOD-123,228.6,68.706,270,bottom
D60,D_Small,D_SOD-123,232.461861,53.098214,270,bottom
D61,D_Small,D_SOD-123,242.316,34.930303,270,bottom
D63,D_Small,D_SOD-123,237.94044,87.869988,270,bottom
D64,D_Small,D_SOD-123,247.904,70.104,270,bottom
D65,D_Small,D_SOD-123,251.968,51.308,270,bottom
D66,D_Small,D_SOD-123,261.62,33.528,270,bottom
D67,D_Small,D_SOD-123,256.855982,89.691485,270,bottom
D68,D_Small,D_SOD-123,266.7,68.706,270,bottom
D69,D_Small,D_SOD-123,270.648335,53.119629,270,bottom
D70,D_Small,D_SOD-123,274.32,34.926,270,bottom
D71,D_Small,D_SOD-123,245.11,13.463,270,bottom
D72,D_Small,D_SOD-123,275.844,87.884,270,bottom
D73,D_Small,D_SOD-123,279.4,70.104,270,bottom
D74,D_Small,D_SOD-123,290.068,51.308,270,bottom
D75,D_Small,D_SOD-123,298.958,12.447,270,bottom
D76,D_Small,D_SOD-123,291.592,33.528,270,bottom
D77,D_Small,D_SOD-123,295.072321,89.741021,270,bottom
D78,D_Small,D_SOD-123,298.704,68.706,270,bottom
D79,PRTR5V0U2X_215,TO-253-4,-0.3904,85.6132,0,bottom
D82,D_Small,D_SOD-123,314.071,13.843,270,bottom
D83,D_Small,D_SOD-123,301.244,88.01,270,bottom
D84,D_Small,D_SOD-123,322.072,70.104,270,bottom
D85,D_Small,D_SOD-123,319.7,32.004,270,bottom
D86,D_Small,D_SOD-123,333.084946,13.540132,270,bottom
D87,D_Small,D_SOD-123,315.976,53.086,270,bottom
D88,D_Small,D_SOD-123,333.769374,89.795672,270,bottom
F1,500mA,Fuse_1206_3216Metric,13.1796,84.9884,0,bottom
R1,10k,R_0805_2012Metric,55.8292,57.9605,90,bottom
R2,22,R_0805_2012Metric,0.9652,78.5391,90,bottom
R3,22,R_0805_2012Metric,-1.016,78.5391,90,bottom
R4,5.1k,R_0805_2012Metric,7.112,88.8238,0,bottom
R5,5.1k,R_0805_2012Metric,-0.8359,90.17,180,bottom
R6,10k,R_0805_2012Metric,53.467,32.893,180,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,51.2064,44.6532,315,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,4.6482,99.06,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,59.2328,52.705,180,bottom
