Ref,Val,Package,PosX,PosY,Rot,Side
"D50","D_Small","D_SOD-123",190.500000,68.706000,270.000000,bottom
"D51","D_Small","D_SOD-123",194.539062,53.221296,270.000000,bottom
"D52","D_Small","D_SOD-123",204.231923,34.671548,270.000000,bottom
"D53","D_Small","D_SOD-123",200.406000,13.462000,270.000000,bottom
"D54","D_Small","D_SOD-123",200.003846,87.884000,270.000000,bottom
"D55","D_Small","D_SOD-123",209.296000,70.104000,270.000000,bottom
"D56","D_Small","D_SOD-123",213.868000,51.308000,270.000000,bottom
"D57","D_Small","D_SOD-123",223.520000,33.528000,270.000000,bottom
"D58","D_Small","D_SOD-123",218.940828,89.719508,270.000000,bottom
"D59","D_Small","D_SOD-123",228.600000,68.706000,270.000000,bottom
"D60","D_Small","D_SOD-123",232.461861,53.098214,270.000000,bottom
"D61","D_Small","D_SOD-123",242.316000,34.930303,270.000000,bottom
"D63","D_Small","D_SOD-123",237.940440,87.869988,270.000000,bottom
"D64","D_Small","D_SOD-123",247.904000,70.104000,270.000000,bottom
"D65","D_Small","D_SOD-123",251.968000,51.308000,270.000000,bottom
"D66","D_Small","D_SOD-123",261.620000,33.528000,270.000000,bottom
"D67","D_Small","D_SOD-123",256.855982,89.691485,270.000000,bottom
"D68","D_Small","D_SOD-123",266.700000,68.706000,270.000000,bottom
"D69","D_Small","D_SOD-123",270.648335,53.119629,270.000000,bottom
"D70","D_Small","D_SOD-123",274.320000,34.926000,270.000000,bottom
"D71","D_Small","D_SOD-123",245.110000,13.463000,270.000000,bottom
"D72","D_Small","D_SOD-123",275.844000,87.884000,270.000000,bottom
"D73","D_Small","D_SOD-123",279.400000,70.104000,270.000000,bottom
"D74","D_Small","D_SOD-123",290.068000,51.308000,270.000000,bottom
"D75","D_Small","D_SOD-123",298.958000,12.447000,270.000000,bottom
"D76","D_Small","D_SOD-123",291.592000,33.528000,270.000000,bottom
"D77","D_Small","D_SOD-123",295.072321,89.741021,270.000000,bottom
"D78","D_Small","D_SOD-123",298.704000,68.706000,270.000000,bottom
"D79","PRTR5V0U2X_215","TO-253-4",-0.390400,85.613200,0.000000,bottom
"D82","D_Small","D_SOD-123",314.071000,13.843000,270.000000,bottom
"D83","D_Small","D_SOD-123",301.244000,88.010000,270.000000,bottom
"D84","D_Small","D_SOD-123",322.072000,70.104000,270.000000,bottom
"D85","D_Small","D_SOD-123",319.700000,32.004000,270.000000,bottom
"D86","D_Small","D_SOD-123",333.084946,13.540132,270.000000,bottom
"D87","D_Small","D_SOD-123",315.976000,53.086000,270.000000,bottom
"D88","D_Small","D_SOD-123",333.769374,89.795672,270.000000,bottom
